epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.207745,0.000000,0.000000,0.190217,0.000000,0.000000
2,0.170858,0.000000,0.000000,0.183420,0.000000,0.000000
1,0.279567,0.907611,0.730889,0.232023,0.910154,0.767638
2,0.205813,0.916999,0.754381,0.228957,0.906686,0.732787
3,0.190933,0.918864,0.758579,0.201588,0.911254,0.748959
4,0.192024,0.918199,0.760336,0.213815,0.909059,0.747118
5,0.183251,0.920921,0.766976,0.207918,0.908011,0.775999
1,0.503295,0.907143,0.742069,0.443823,0.896634,0.763963
2,0.371123,0.916464,0.764962,0.402320,0.898129,0.684729
3,0.347128,0.918571,0.767246,0.348348,0.912596,0.771639
4,0.328848,0.921874,0.778278,0.387839,0.896987,0.770192
5,0.318794,0.923888,0.783407,0.345788,0.909990,0.780688
1,0.503295,0.907143,0.742069,0.443823,0.896634,0.763963
2,0.371123,0.916464,0.764962,0.402320,0.898129,0.684729
3,0.347128,0.918571,0.767246,0.348348,0.912596,0.771639
4,0.328848,0.921874,0.778278,0.387839,0.896987,0.770192
5,0.318794,0.923888,0.783407,0.345788,0.909990,0.780688
